subjid,group,food,taste_rating,health_rating
sub-FCT006,HC,mac & cheese.jpg,4.0,1.0
sub-FCT006,HC,lollipops.jpg,1.0,1.0
sub-FCT006,HC,cucumber slices.jpg,2.0,5.0
sub-FCT006,HC,Pretzels.jpg,2.0,3.0
sub-FCT006,HC,bagel and cc.jpg,3.0,2.0
sub-FCT006,HC,cherries.jpg,4.0,5.0
sub-FCT006,HC,Grapes.jpg,3.0,5.0
sub-FCT006,HC,burger.jpg,,2.0
sub-FCT006,HC,baguette oil.jpg,3.0,3.0
sub-FCT006,HC,string cheese.jpg,3.0,2.0
sub-FCT006,HC,ritz.jpg,2.0,2.0
sub-FCT006,HC,yellow popcorn.jpg,3.0,2.0
sub-FCT006,HC,froot loops w milk.jpg,4.0,1.0
sub-FCT006,HC,cupcakes am.jpg,4.0,1.0
sub-FCT006,HC,broccoli cauliflower.jpg,3.0,5.0
sub-FCT006,HC,ice cream sundae 002.jpg,5.0,1.0
sub-FCT006,HC,seaweed.jpg,4.0,5.0
sub-FCT006,HC,Skim milk.jpg,3.0,3.0
sub-FCT006,HC,avacado.jpg,5.0,4.0
sub-FCT006,HC,pickles.jpg,4.0,3.0
sub-FCT006,HC,corn cob.jpg,3.0,5.0
sub-FCT006,HC,salad w chicken.jpg,3.0,5.0
sub-FCT006,HC,strawberries.jpg,5.0,5.0
sub-FCT006,HC,soy chips.jpg,3.0,2.0
sub-FCT006,HC,kiwi.jpg,4.0,5.0
sub-FCT006,HC,m_and_m.jpg,4.0,1.0
sub-FCT006,HC,mini muffins.jpg,4.0,2.0
sub-FCT006,HC,brownie.jpg,5.0,1.0
sub-FCT006,HC,steak.jpg,1.0,2.0
sub-FCT006,HC,1%milk.jpg,2.0,3.0
sub-FCT006,HC,raisin bran w milk.jpg,2.0,3.0
sub-FCT006,HC,sushi w_condiments.jpg,5.0,4.0
sub-FCT006,HC,rice cakes.jpg,2.0,3.0
sub-FCT006,HC,yogurt no spoon.jpg,4.0,4.0
sub-FCT006,HC,yogurt pretzels.jpg,4.0,2.0
sub-FCT007,HC,strawberries.jpg,5.0,5.0
sub-FCT007,HC,soup with spoon.jpg,3.0,3.0
sub-FCT007,HC,Hershey Kisses.jpg,4.0,1.0
sub-FCT007,HC,Pretzels.jpg,5.0,3.0
sub-FCT007,HC,american cheese.jpg,2.0,2.0
sub-FCT007,HC,green beans.jpg,4.0,4.0
sub-FCT007,HC,raisin bran w milk.jpg,3.0,4.0
sub-FCT007,HC,Grapes.jpg,5.0,5.0
sub-FCT007,HC,raisins.jpg,4.0,4.0
sub-FCT007,HC,rigatoni.jpg,3.0,4.0
sub-FCT007,HC,fried eggs.jpg,2.0,1.0
sub-FCT007,HC,salad w chicken.jpg,5.0,3.0
sub-FCT007,HC,grilled chicken strips.jpg,5.0,4.0
sub-FCT007,HC,grilled cheese.jpg,5.0,2.0
sub-FCT007,HC,Tribe humus pita.jpg,5.0,3.0
sub-FCT007,HC,air popcorn.jpg,5.0,4.0
sub-FCT007,HC,baked potato.jpg,3.0,3.0
sub-FCT007,HC,banana.jpg,4.0,5.0
sub-FCT007,HC,yogurt no spoon.jpg,5.0,4.0
sub-FCT007,HC,avacado.jpg,5.0,4.0
sub-FCT007,HC,mashed potato.jpg,3.0,3.0
sub-FCT007,HC,celery and carrot sticks.jpg,3.0,5.0
