subjid,group,ref_food,alt_food,choice_rating
sub-FCT006,HC,PB.jpg,kiwi.jpg,4
sub-FCT006,HC,PB.jpg,orange slices.jpg,4
sub-FCT006,HC,PB.jpg,baby cheese.jpg,5
sub-FCT006,HC,PB.jpg,Tribe humus pita.jpg,4
sub-FCT006,HC,PB.jpg,rigatoni and sauce.jpg,4
sub-FCT006,HC,PB.jpg,Cheese nachos.jpg,4
sub-FCT006,HC,PB.jpg,bagel plain.jpg,2
sub-FCT006,HC,PB.jpg,burger.jpg,2
sub-FCT006,HC,PB.jpg,air popcorn.jpg,4
sub-FCT006,HC,PB.jpg,string cheese.jpg,4
sub-FCT006,HC,PB.jpg,celery and carrot sticks.jpg,2
sub-FCT006,HC,PB.jpg,raisin bran w milk.jpg,2
sub-FCT006,HC,PB.jpg,seaweed.jpg,4
sub-FCT006,HC,PB.jpg,green beans.jpg,2
sub-FCT006,HC,PB.jpg,sushi w_condiments.jpg,5
sub-FCT006,HC,PB.jpg,baguette oil.jpg,4
sub-FCT006,HC,PB.jpg,grilled cheese.jpg,4
sub-FCT006,HC,PB.jpg,eggs.jpg,2
sub-FCT006,HC,PB.jpg,Hershey Kisses.jpg,5
sub-FCT006,HC,PB.jpg,apple slices.jpg,4
sub-FCT006,HC,PB.jpg,rigatoni.jpg,2
sub-FCT006,HC,PB.jpg,hotdog w must.jpg,2
sub-FCT006,HC,PB.jpg,grilled chicken strips.jpg,2
sub-FCT006,HC,PB.jpg,trail mix.jpg,2
sub-FCT006,HC,PB.jpg,mini muffins.jpg,4
sub-FCT006,HC,PB.jpg,Pretzels.jpg,2
sub-FCT006,HC,PB.jpg,fried eggs.jpg,2
sub-FCT006,HC,PB.jpg,granola w milk.jpg,4
sub-FCT006,HC,PB.jpg,chicken nuggets2.jpg,2
sub-FCT006,HC,PB.jpg,broccoli cauliflower.jpg,2
sub-FCT006,HC,PB.jpg,soy chips.jpg,2
sub-FCT006,HC,PB.jpg,pickles.jpg,4
sub-FCT006,HC,PB.jpg,lollipops.jpg,2
sub-FCT006,HC,PB.jpg,froot loops w milk.jpg,4
sub-FCT006,HC,PB.jpg,cucumber slices.jpg,2
sub-FCT006,HC,PB.jpg,banana.jpg,2
sub-FCT006,HC,PB.jpg,bagel and cc.jpg,4
sub-FCT006,HC,PB.jpg,peaches.jpg,5
sub-FCT006,HC,PB.jpg,ice cream sundae 002.jpg,5
sub-FCT006,HC,PB.jpg,Skim milk.jpg,2
sub-FCT006,HC,PB.jpg,Grapes.jpg,4
sub-FCT006,HC,PB.jpg,cupcakes am.jpg,5
sub-FCT006,HC,PB.jpg,soup with spoon.jpg,2
sub-FCT006,HC,PB.jpg,salad w chicken.jpg,5
sub-FCT006,HC,PB.jpg,mac & cheese.jpg,5
sub-FCT006,HC,PB.jpg,saltines.jpg,2
sub-FCT006,HC,PB.jpg,doughnuts.jpg,4
sub-FCT006,HC,PB.jpg,Whole milk.jpg,1
sub-FCT006,HC,PB.jpg,mushrooms.jpg,1
sub-FCT006,HC,PB.jpg,pizza.jpg,5
sub-FCT006,HC,PB.jpg,steak.jpg,2
